y_p,ly_p,ry_p
326,116,73
475,140,86
361,111,78
811,304,152
595,177,104
684,210,125
209,98,59
638,197,126
187,104,56
553,170,96
330,105,68
338,126,72
1001,340,224
182,89,59
356,122,78
198,87,59
603,186,108
229,102,62
207,97,58
715,216,130
365,118,77
414,141,76
269,108,66
691,230,123
420,123,83
786,237,146
1065,412,234
379,124,73
621,188,110
414,127,76
644,198,115
353,117,74
333,118,68
553,181,102
539,158,98
266,115,64
620,189,110
303,103,65
154,94,55
336,118,68
323,111,71
285,102,64
727,221,133
620,186,110
165,82,59
992,349,193
213,92,61
504,166,92
226,102,61
624,198,115
401,121,79
449,145,86
232,101,61
220,89,60
402,121,79
507,160,97
397,122,79
195,89,59
550,172,97
405,131,85
355,110,72
423,125,76
216,83,61
355,110,72
1527,1030,500
263,100,62
182,89,59
305,109,68
415,129,83
372,111,73
198,87,58
494,140,93
279,101,70
259,104,64
606,190,110
226,98,60
263,100,62
617,190,110
455,139,91
473,158,85
333,118,68
650,195,113
435,136,88
590,177,110
394,119,77
188,80,59
175,84,57
708,218,132
447,140,85
241,94,64
843,291,164
269,96,60
593,193,109
397,122,81
692,206,123
465,130,87
397,137,81
184,88,59
331,107,68
223,92,58
314,99,70
985,361,194
513,151,94
213,88,59
584,192,108
548,153,97
216,91,61
303,109,68
587,181,102
484,144,87
958,341,181
803,255,157
310,120,68
242,82,62
254,89,62
343,103,73
465,126,86
469,134,90
380,124,72
590,196,111
370,114,74
776,240,149
453,140,92
161,80,58
605,169,118
396,118,77
393,119,78
221,86,58
185,88,58
667,197,119
370,105,75
492,157,95
398,122,79
431,135,81
421,124,82
645,190,114
440,133,87
528,173,96
947,338,181
218,91,61
388,108,78
336,118,68
525,164,91
177,95,56
276,105,65
381,122,72
472,143,87
