y_p,ly_p,ry_p
327,139,84
480,155,94
363,166,105
816,206,125
600,171,104
683,198,123
210,104,60
640,213,135
194,85,45
555,159,95
336,131,79
341,123,72
1001,295,190
187,119,72
360,150,93
203,119,72
603,175,106
230,111,65
210,104,60
714,206,128
373,150,93
418,120,68
270,123,74
692,183,110
428,162,101
786,225,142
1068,273,172
382,127,75
622,178,109
418,135,80
643,186,114
353,143,87
336,116,67
556,167,101
539,174,108
268,104,59
621,178,109
306,123,74
155,92,52
339,116,67
332,139,84
287,119,71
726,210,131
624,178,109
164,130,81
996,245,153
218,127,78
509,151,90
227,111,65
627,186,114
397,150,93
453,155,94
234,111,65
229,127,78
399,150,93
511,174,108
392,150,93
196,119,72
552,159,95
404,162,101
359,139,84
428,135,80
219,142,90
359,139,84
1527,356,225
261,111,65
187,119,72
309,131,79
416,162,101
377,143,87
202,119,72
489,178,112
283,146,91
263,119,71
614,182,112
236,111,65
261,111,65
617,178,109
458,178,112
475,139,82
336,116,67
651,186,114
434,170,106
590,194,121
394,150,93
191,134,84
184,115,69
714,210,131
456,155,94
249,134,83
843,229,143
274,111,65
595,178,109
406,158,98
693,198,123
466,170,106
402,143,86
189,119,72
334,131,79
232,104,60
314,146,91
984,245,153
514,166,102
213,119,72
589,178,109
552,174,108
222,127,78
308,131,79
584,167,101
482,155,94
955,234,144
803,237,150
315,116,67
242,142,90
268,134,83
343,154,96
471,170,106
464,170,106
384,127,75
590,178,109
371,143,87
781,229,144
456,178,112
165,130,81
603,217,139
397,150,93
394,150,93
223,119,72
191,119,72
680,198,123
366,158,99
496,170,105
394,150,93
433,143,86
421,158,98
652,186,114
442,170,106
532,159,95
948,234,144
224,127,78
389,166,105
339,116,67
527,151,90
183,100,57
280,123,74
387,127,75
473,155,94
